filemname	vertexCount	edgeCount	orthogonalWidth	orthogonalHeight	orthogonalComplexity	orthogonalCompressedWidth	orthogonalCompressedHeight	orthogonalCompressedComplexity	smoothWidth	smoothHeight	smoothComplexity	smoothCheapAdjWidth	smoothCheapAdjHeight	smoothCheapAdjComplexity	smoothAllAdjWidth	smoothAllAdjHeight	smoothAllAdjComplexity
grafo1821	19	23	5	18	115	5	17	115	16	17	28	16	17	28	28	17	28	
grafo1829	15	20	6	14	100	4	12	100	-1	-1	-1	7	12	24	16	12	23	
grafo1832	11	14	4	10	70	4	10	70	4	10	17	4	10	17	11	10	18	
grafo1849	16	21	6	15	105	6	13	105	-1	-1	-1	8	13	27	16	13	26	
grafo1853	13	16	4	13	80	3	12	80	7	12	18	7	12	18	7	12	18	
grafo1856	14	16	3	13	80	3	12	80	3	12	18	3	12	18	12	12	18	
grafo1857	10	13	4	11	65	4	8	65	14	13	16	14	13	16	14	13	16	
grafo1858	19	23	5	18	115	5	17	115	5	17	28	5	17	28	22	17	28	
grafo186	30	36	7	29	180	6	25	180	6	25	42	6	25	42	28	25	42	
grafo1864	18	22	5	17	110	5	14	110	5	14	27	5	14	27	17	14	27	
grafo1865	18	21	4	17	105	4	11	105	9	11	25	9	11	25	12	11	25	
grafo1869	31	38	8	30	190	8	20	190	17	20	48	17	20	48	31	22	47	
grafo1881	19	25	7	19	125	5	11	125	10	11	30	10	11	30	15	13	30	
grafo1883	15	18	4	14	90	4	10	90	4	10	22	4	10	22	10	10	21	
grafo1884	16	19	4	15	95	4	12	95	8	12	24	8	12	24	16	12	23	
grafo1888	15	19	5	14	95	5	11	95	8	11	25	8	11	25	16	11	24	
grafo1895	14	17	4	13	85	3	9	85	7	9	20	7	9	20	9	9	19	
grafo1897	19	22	4	18	110	3	16	110	3	16	24	3	16	24	17	16	24	
grafo1902	12	15	4	11	75	3	7	75	6	7	18	6	7	18	9	7	17	
grafo1905	13	16	4	12	80	4	10	80	9	10	18	9	10	18	9	10	18	
grafo1916	20	25	6	19	125	5	13	125	11	13	31	11	13	31	15	13	30	
grafo1925	35	40	6	34	200	5	27	200	18	27	43	18	27	43	22	27	43	
grafo193	12	14	3	11	70	3	11	70	8	11	17	8	11	17	13	11	17	
grafo1930	13	16	4	12	80	4	10	80	4	10	19	4	10	19	11	10	18	
grafo1934	14	17	4	13	85	4	11	85	7	11	22	7	11	22	16	11	21	
grafo1938	12	16	5	11	80	5	8	80	-1	-1	-1	7	8	20	10	8	19	
grafo1939	22	24	3	21	120	3	16	120	3	16	27	3	16	27	16	16	27	
grafo1942	18	21	4	17	105	4	17	105	11	17	25	11	17	25	23	17	25	
grafo1945	16	19	4	16	95	4	14	95	10	14	22	10	14	22	12	14	22	
grafo1953	32	38	7	31	190	7	19	190	-1	-1	-1	8	19	47	27	19	46	
grafo1958	30	36	7	30	180	6	21	180	15	23	42	15	23	42	34	32	41	
grafo1960	26	33	8	25	165	8	17	165	14	17	42	14	17	42	26	17	40	
grafo1961	15	18	4	14	90	3	13	90	3	13	21	3	13	21	15	13	21	
grafo1969	14	17	4	13	85	4	11	85	7	11	22	7	11	22	16	11	21	
grafo197	15	18	4	14	90	4	14	90	4	14	22	4	14	22	23	14	22	
grafo1982	15	19	5	15	95	5	8	95	16	14	24	16	14	24	16	14	24	
grafo1989	31	36	6	30	180	6	26	180	19	26	42	19	26	42	25	26	41	
grafo1997	27	34	8	26	170	7	19	170	7	19	39	7	19	39	25	19	38	
grafo1998	31	38	8	30	190	6	21	190	-1	-1	-1	18	21	44	23	21	44	
grafo2001	12	16	5	12	80	4	9	80	6	10	19	6	10	19	6	10	19	
grafo2021	27	34	8	27	170	7	22	170	16	24	41	16	24	41	44	38	41	
grafo203	13	16	4	12	80	3	10	80	3	10	20	3	10	20	10	10	19	
grafo2036	27	35	9	26	175	9	17	175	9	17	46	9	17	46	36	18	44	
grafo2054	29	39	11	29	195	9	18	195	-1	-1	-1	11	21	47	14	22	47	
grafo2056	20	24	5	20	120	5	14	120	11	15	30	11	15	30	17	18	29	
grafo206	12	14	3	11	70	3	10	70	3	10	16	3	10	16	12	12	16	
grafo2060	25	30	6	24	150	6	15	150	6	15	37	6	15	37	22	15	36	
grafo2066	33	42	10	32	210	9	18	210	13	18	52	13	18	52	50	84	53	
grafo2067	25	31	7	24	155	7	22	155	6	22	36	6	22	36	22	22	35	
grafo2074	34	40	7	33	200	7	23	200	-1	-1	-1	21	23	50	34	23	49	
grafo2079	19	24	6	18	120	6	14	120	-1	-1	-1	8	14	31	14	14	30	
grafo2101	17	19	3	16	95	3	16	95	10	16	22	10	16	22	20	16	22	
grafo2105	10	14	5	10	70	5	10	70	5	10	21	5	10	21	19	14	19	
grafo2107	31	38	8	30	190	8	19	190	16	19	46	16	19	46	21	19	46	
grafo211	14	17	4	13	85	4	13	85	6	13	21	6	13	21	16	13	22	
grafo2118	15	18	4	14	90	4	10	90	4	10	22	4	10	22	14	10	22	
grafo212	14	17	4	13	85	4	11	85	4	11	21	4	11	21	19	11	21	
grafo2122	20	24	5	19	120	5	18	120	5	18	30	5	18	30	25	25	29	
grafo2123	26	32	7	25	160	7	18	160	7	18	41	7	18	41	30	18	38	
grafo2125	16	20	5	15	100	4	12	100	8	12	25	8	12	25	15	12	24	
grafo213	18	24	7	17	120	7	14	120	10	14	33	10	14	33	36	24	30	
grafo2130	31	41	11	30	205	10	24	205	10	24	53	10	24	53	24	24	50	
grafo2137	22	25	4	21	125	4	18	125	4	18	30	4	18	30	27	18	29	
grafo2140	25	31	7	25	155	7	19	155	-1	-1	-1	15	23	36	15	23	36	
grafo2142	16	20	5	16	100	5	12	100	9	13	25	9	13	25	10	14	25	
grafo2150	16	20	5	16	100	4	15	100	4	16	24	4	16	24	19	20	25	
grafo2153	19	24	6	19	120	5	15	120	25	23	28	25	23	28	25	23	28	
grafo2157	15	18	4	14	90	4	10	90	4	10	23	4	10	23	21	10	22	
grafo2168	16	19	4	16	95	4	14	95	4	15	23	4	15	23	16	19	24	
grafo2174	17	21	5	16	105	4	12	105	4	12	25	4	12	25	19	12	25	
grafo2185	24	31	8	23	155	8	21	155	-1	-1	-1	17	21	41	33	26	41	
grafo2196	16	19	4	15	95	4	14	95	-1	-1	-1	6	14	24	17	14	23	
grafo2197	13	16	4	12	80	4	12	80	-1	-1	-1	9	12	20	18	15	19	
grafo2204	13	15	3	12	75	3	9	75	3	9	18	3	9	18	11	9	18	
grafo221	15	18	4	14	90	3	12	90	3	12	22	3	12	22	17	12	20	
grafo2214	19	23	5	19	115	4	13	115	4	13	28	4	13	28	12	17	28	
grafo2218	13	15	3	12	75	3	12	75	3	12	18	3	12	18	13	13	18	
grafo222	11	12	2	10	60	2	10	60	2	10	14	2	10	14	10	10	14	
grafo2221	13	15	3	13	75	3	11	75	3	11	17	3	11	17	10	15	17	
grafo2222	17	20	4	16	100	4	13	100	4	13	23	4	13	23	13	13	22	
grafo2228	14	17	4	13	85	4	9	85	4	9	22	4	9	22	12	9	21	
grafo223	12	13	2	11	65	2	11	65	2	11	15	2	11	15	11	11	15	
grafo2232	15	17	3	14	85	3	12	85	8	12	20	8	12	20	11	12	20	
grafo224	17	20	4	16	100	4	14	100	4	14	25	4	14	25	24	14	24	
grafo2240	12	14	3	11	70	3	10	70	3	10	15	3	10	15	11	10	15	
grafo2244	18	21	4	18	105	4	16	105	4	17	26	4	17	26	11	18	25	
grafo2245	17	21	5	16	105	5	15	105	-1	-1	-1	6	15	25	16	15	24	
grafo2256	23	28	6	22	140	5	19	140	5	19	32	5	19	32	19	19	32	
grafo2257	14	18	5	13	90	5	11	90	-1	-1	-1	8	11	23	17	11	22	
grafo2259	14	17	4	13	85	4	10	85	4	10	21	4	10	21	10	10	21	
grafo226	14	17	4	13	85	4	8	85	4	8	21	4	8	21	12	8	19	
grafo2260	14	17	4	13	85	4	10	85	4	10	21	4	10	21	17	10	20	
grafo2261	12	16	5	11	80	5	9	80	9	9	21	9	9	21	14	9	21	
grafo2263	22	27	6	22	135	5	14	135	27	26	33	27	26	33	37	28	33	
grafo2266	15	18	4	15	90	4	14	90	10	15	21	10	15	21	15	17	22	
grafo2286	15	18	4	15	90	4	9	90	17	16	23	17	16	23	23	16	22	
grafo2287	13	16	4	13	80	4	8	80	4	9	20	4	9	20	7	9	19	
grafo229	13	14	2	12	70	2	12	70	2	12	16	2	12	16	12	12	16	
grafo2293	13	16	4	12	80	4	10	80	6	10	19	6	10	19	13	10	18	
grafo2295	22	28	7	21	140	7	15	140	-1	-1	-1	19	15	35	31	15	35	
grafo2305	21	27	7	21	135	5	15	135	5	15	34	5	15	34	17	20	34	
grafo2306	13	15	3	12	75	3	10	75	3	10	17	3	10	17	10	10	16	
grafo2308	19	23	5	19	115	4	13	115	4	14	28	4	14	28	9	16	28	
grafo2311	15	18	4	14	90	4	14	90	5	14	21	5	14	21	17	15	21	
grafo2312	11	13	3	10	65	3	9	65	3	9	16	3	9	16	9	9	16	
grafo2313	13	15	3	12	75	3	11	75	3	11	17	3	11	17	13	11	17	
grafo2318	15	18	4	14	90	4	13	90	10	13	21	10	13	21	17	13	21	
grafo2325	13	15	3	12	75	3	9	75	3	9	18	3	9	18	11	9	18	
grafo233	11	13	3	10	65	3	10	65	6	10	16	6	10	16	14	10	16	
grafo2331	15	18	4	14	90	4	12	90	4	12	22	4	12	22	15	12	22	
grafo2332	19	22	4	18	110	3	12	110	3	12	26	3	12	26	15	12	25	
grafo2333	13	16	4	12	80	4	10	80	4	10	21	4	10	21	13	10	20	
grafo2335	12	15	4	12	75	3	8	75	6	8	17	6	8	17	6	8	17	
grafo2338	14	15	2	13	75	2	8	75	5	8	16	5	8	16	7	8	16	
grafo2339	14	18	5	13	90	5	13	90	10	13	23	10	13	23	19	13	22	
grafo234	12	17	6	11	85	5	10	85	9	10	24	9	10	24	15	10	22	
grafo2343	12	14	3	11	70	3	10	70	3	10	17	3	10	17	10	10	17	
grafo2347	20	25	6	19	125	6	12	125	6	12	31	6	12	31	19	12	30	
grafo2349	16	20	5	15	100	5	14	100	11	14	25	11	14	25	18	14	26	
grafo235	13	15	3	13	75	3	9	75	6	9	18	6	9	18	7	10	18	
grafo2350	11	14	4	10	70	4	9	70	-1	-1	-1	6	9	18	13	12	17	
grafo2354	13	18	6	12	90	5	9	90	11	9	24	11	9	24	17	9	23	
